keyword,us_volume,kd_percent,cpc_usd,competition,intent,tier,target_slug,status
how to screen record on pc,6600,47,1.38,0.117,Informational,Strategic,how-to-screen-record-on-windows-11,Published cluster
screencasting,2400,46,1.14,0.177,Informational,Strategic,screencasting-guide,Published cluster
screen recorder windows 11,1900,44,1.58,0.256,Informational,Strategic,how-to-screen-record-on-windows-11,Published cluster
whiteboard animation,1600,45,3.80,0.318,Informational,Strategic,whiteboard-animation-and-hand-drawn-explainers,Published cluster
screen recorder for mac,1300,40,2.01,0.139,Informational,Strategic,best-screen-recorder-for-mac,Published cluster
animated explainer video,1000,37,13.48,0.316,Informational/Commercial,Main,whiteboard-animation-and-hand-drawn-explainers,Published cluster
hand drawn animation,1000,39,4.23,0.037,Informational,Main,whiteboard-animation-and-hand-drawn-explainers,Published cluster
record screen windows 11,1000,46,1.56,0.189,Informational,Strategic,how-to-screen-record-on-windows-11,Published cluster
whiteboard animation software comparison chart,1000,4,0.00,,Commercial,Quick win,whiteboard-animation-software-comparison,Published cluster
whiteboard animation software comparison,720,9,0.00,,Commercial,Quick win,whiteboard-animation-software-comparison,Published cluster
whiteboard animation software,590,38,3.07,0.18,Commercial,Main,whiteboard-animation-software-comparison,Published cluster
loom alternatives,1000,23,5.47,0.569,Informational,Main,loom-alternatives-for-whiteboard,Refreshed
whiteboard explainer video,390,29,7.73,,Informational,Quick win,whiteboard-animation-and-hand-drawn-explainers,Refreshed
best whiteboard animation software,140,16,5.74,,Commercial,Quick win,whiteboard-animation-software-comparison,Published cluster
screen studio alternative,110,9,2.85,0.227,Informational,Quick win,excalicast-vs-screen-studio,Refreshed
snagit alternative,210,17,2.31,0.227,Informational,Quick win,excalicast-vs-snagit,Published cluster
